roi,contrast,method1,method2,r,p,dir_agreement_pct,n_bands
FC_midline,WS->TS,Residual,IRASA,0.8938625017162943,0.006652340766592263,57.14285714285714,7
FC_midline,WS->TS,Residual,Hilbert,0.9320602831619341,0.002227257782457819,71.42857142857143,7
FC_midline,WS->TS,IRASA,Hilbert,0.9150746570913291,0.0038547558601438586,85.71428571428571,7
FC_midline,TS->ESS1,Residual,IRASA,0.9020647163204664,0.005465468166356747,100.0,7
FC_midline,TS->ESS1,Residual,Hilbert,0.908644272924718,0.004609997029492113,100.0,7
FC_midline,TS->ESS1,IRASA,Hilbert,0.9822362734378979,8.000987543801705e-05,100.0,7
FC_midline,ESS1->LSS1,Residual,IRASA,0.9455713501891658,0.0012889630932765104,100.0,7
FC_midline,ESS1->LSS1,Residual,Hilbert,0.8923545393002633,0.006885374645858974,100.0,7
FC_midline,ESS1->LSS1,IRASA,Hilbert,0.9805542205466764,0.00010022543337049487,100.0,7
FC_midline,WS->ESS1,Residual,IRASA,0.8874445157966662,0.007676584929535709,85.71428571428571,7
FC_midline,WS->ESS1,Residual,Hilbert,0.881356432348227,0.008727450754122209,85.71428571428571,7
FC_midline,WS->ESS1,IRASA,Hilbert,0.9626318795483194,0.0005081092537645266,100.0,7
FC_midline,WS->LSS1,Residual,IRASA,0.8785034972940589,0.009246860339374578,100.0,7
FC_midline,WS->LSS1,Residual,Hilbert,0.8612636274470807,0.012760384080610818,100.0,7
FC_midline,WS->LSS1,IRASA,Hilbert,0.9957219626953768,2.293872170612322e-06,100.0,7
L_DLPFC,WS->TS,Residual,IRASA,0.9270315875900899,0.002655214698506074,71.42857142857143,7
L_DLPFC,WS->TS,Residual,Hilbert,0.9391057705601069,0.001700503360343495,85.71428571428571,7
L_DLPFC,WS->TS,IRASA,Hilbert,0.9593379140302787,0.0006264716219965566,85.71428571428571,7
L_DLPFC,TS->ESS1,Residual,IRASA,0.8787089369931669,0.009208878013983715,100.0,7
L_DLPFC,TS->ESS1,Residual,Hilbert,0.8329371388465403,0.019981839410705318,100.0,7
L_DLPFC,TS->ESS1,IRASA,Hilbert,0.9586102562135733,0.0006546172042394215,100.0,7
L_DLPFC,ESS1->LSS1,Residual,IRASA,0.8732370045772038,0.010251483511786456,100.0,7
L_DLPFC,ESS1->LSS1,Residual,Hilbert,0.8553761709388279,0.014110693883677382,100.0,7
L_DLPFC,ESS1->LSS1,IRASA,Hilbert,0.9762064806620028,0.0001655930905067985,100.0,7
L_DLPFC,WS->ESS1,Residual,IRASA,0.9260624401655734,0.0027427985679578824,85.71428571428571,7
L_DLPFC,WS->ESS1,Residual,Hilbert,0.8519894375393013,0.014922832056970977,85.71428571428571,7
L_DLPFC,WS->ESS1,IRASA,Hilbert,0.9726244382150774,0.00023467259444369016,100.0,7
L_DLPFC,WS->LSS1,Residual,IRASA,0.9083468372714881,0.004646847411875109,85.71428571428571,7
L_DLPFC,WS->LSS1,Residual,Hilbert,0.8435463322772317,0.017061301249830244,85.71428571428571,7
L_DLPFC,WS->LSS1,IRASA,Hilbert,0.9852268023016684,5.054687640735185e-05,100.0,7
R_DLPFC,WS->TS,Residual,IRASA,0.9665540001179623,0.000385911832761507,71.42857142857143,7
R_DLPFC,WS->TS,Residual,Hilbert,0.9809598589285554,9.510097212222856e-05,71.42857142857143,7
R_DLPFC,WS->TS,IRASA,Hilbert,0.9762507930964021,0.00016482712110676192,100.0,7
R_DLPFC,TS->ESS1,Residual,IRASA,0.9017011029116345,0.0055152282990476,85.71428571428571,7
R_DLPFC,TS->ESS1,Residual,Hilbert,0.8967052967961953,0.006225630855124807,85.71428571428571,7
R_DLPFC,TS->ESS1,IRASA,Hilbert,0.9748544577286579,0.0001899900292126606,100.0,7
R_DLPFC,ESS1->LSS1,Residual,IRASA,0.8614846966901799,0.012711192135330056,71.42857142857143,7
R_DLPFC,ESS1->LSS1,Residual,Hilbert,0.8483654239175556,0.015820733646523432,71.42857142857143,7
R_DLPFC,ESS1->LSS1,IRASA,Hilbert,0.9939778818280824,5.387961570480224e-06,100.0,7
R_DLPFC,WS->ESS1,Residual,IRASA,0.9243182850788705,0.002904638789889145,85.71428571428571,7
R_DLPFC,WS->ESS1,Residual,Hilbert,0.9197809823012032,0.0033513795963192273,85.71428571428571,7
R_DLPFC,WS->ESS1,IRASA,Hilbert,0.9921658356785554,1.0389877134949742e-05,100.0,7
R_DLPFC,WS->LSS1,Residual,IRASA,0.9050076333403975,0.005072349092216891,85.71428571428571,7
R_DLPFC,WS->LSS1,Residual,Hilbert,0.8731502156119059,0.010268540371563804,85.71428571428571,7
R_DLPFC,WS->LSS1,IRASA,Hilbert,0.9956197856874094,2.433169627415931e-06,100.0,7
VmPFC,WS->TS,Residual,IRASA,0.9248939575531376,0.002850620373313068,85.71428571428571,7
VmPFC,WS->TS,Residual,Hilbert,0.9837419091302883,6.417037908217693e-05,85.71428571428571,7
VmPFC,WS->TS,IRASA,Hilbert,0.956324585106567,0.0007478397784578361,100.0,7
VmPFC,TS->ESS1,Residual,IRASA,0.8627030728662404,0.012442033389650152,85.71428571428571,7
VmPFC,TS->ESS1,Residual,Hilbert,0.8534154570843365,0.014577706741901836,85.71428571428571,7
VmPFC,TS->ESS1,IRASA,Hilbert,0.9599776144181492,0.0006023315391980805,100.0,7
VmPFC,ESS1->LSS1,Residual,IRASA,0.8799544630880315,0.00898052984619046,85.71428571428571,7
VmPFC,ESS1->LSS1,Residual,Hilbert,0.870650745306707,0.010766788058608204,100.0,7
VmPFC,ESS1->LSS1,IRASA,Hilbert,0.980089340308292,0.00010629670149825797,85.71428571428571,7
VmPFC,WS->ESS1,Residual,IRASA,0.8876174038172618,0.007647876833720438,85.71428571428571,7
VmPFC,WS->ESS1,Residual,Hilbert,0.8944360428174224,0.006564927823716618,85.71428571428571,7
VmPFC,WS->ESS1,IRASA,Hilbert,0.9932193873408172,7.2451401401317736e-06,100.0,7
VmPFC,WS->LSS1,Residual,IRASA,0.8704332560333142,0.010810785888170783,100.0,7
VmPFC,WS->LSS1,Residual,Hilbert,0.8444132479332265,0.0168341937727562,100.0,7
VmPFC,WS->LSS1,IRASA,Hilbert,0.9971980471861199,7.969914738800548e-07,100.0,7
IPG,WS->TS,Residual,IRASA,0.9439255013882698,0.0013873780073528005,71.42857142857143,7
IPG,WS->TS,Residual,Hilbert,0.9772026374905372,0.0001488814653697132,85.71428571428571,7
IPG,WS->TS,IRASA,Hilbert,0.9425915302857717,0.0014702959230084623,85.71428571428571,7
IPG,TS->ESS1,Residual,IRASA,0.8867698183824264,0.007789214548915025,85.71428571428571,7
IPG,TS->ESS1,Residual,Hilbert,0.8530208391682111,0.0146727506021254,85.71428571428571,7
IPG,TS->ESS1,IRASA,Hilbert,0.9460984569290787,0.0012583443923081666,100.0,7
IPG,ESS1->LSS1,Residual,IRASA,0.9229432822354562,0.0030360752605330466,100.0,7
IPG,ESS1->LSS1,Residual,Hilbert,0.8942264318767243,0.006596796692802466,85.71428571428571,7
IPG,ESS1->LSS1,IRASA,Hilbert,0.9827777450607329,7.40730392008591e-05,85.71428571428571,7
IPG,WS->ESS1,Residual,IRASA,0.886519398837252,0.007831259663437522,85.71428571428571,7
IPG,WS->ESS1,Residual,Hilbert,0.8983376063552325,0.005988010737830232,85.71428571428571,7
IPG,WS->ESS1,IRASA,Hilbert,0.9777081661621436,0.00014080307565852266,100.0,7
IPG,WS->LSS1,Residual,IRASA,0.8637712089768337,0.012208778704122313,100.0,7
IPG,WS->LSS1,Residual,Hilbert,0.850982285062895,0.015169365992851777,100.0,7
IPG,WS->LSS1,IRASA,Hilbert,0.9967005807660838,1.198890521257541e-06,100.0,7
SPG,WS->TS,Residual,IRASA,0.9624122121842018,0.0005155480118642516,71.42857142857143,7
SPG,WS->TS,Residual,Hilbert,0.945938349245288,0.001267598832137402,71.42857142857143,7
SPG,WS->TS,IRASA,Hilbert,0.9101193192673437,0.004429770200319624,100.0,7
SPG,TS->ESS1,Residual,IRASA,0.9116074570739653,0.004252178207709344,71.42857142857143,7
SPG,TS->ESS1,Residual,Hilbert,0.8740321145739749,0.010095977853127837,71.42857142857143,7
SPG,TS->ESS1,IRASA,Hilbert,0.9629022752083305,0.0004990405953210539,100.0,7
SPG,ESS1->LSS1,Residual,IRASA,0.7522698642861693,0.05107280201321246,71.42857142857143,7
SPG,ESS1->LSS1,Residual,Hilbert,0.7892785770545858,0.034821885256563656,71.42857142857143,7
SPG,ESS1->LSS1,IRASA,Hilbert,0.9871779925830555,3.5510289673275855e-05,100.0,7
SPG,WS->ESS1,Residual,IRASA,0.9496312943211616,0.0010642295606315196,85.71428571428571,7
SPG,WS->ESS1,Residual,Hilbert,0.9231780518123638,0.0030133921362737568,85.71428571428571,7
SPG,WS->ESS1,IRASA,Hilbert,0.9922215188746205,1.0206544081082417e-05,100.0,7
SPG,WS->LSS1,Residual,IRASA,0.8423464783017538,0.017378490545950236,85.71428571428571,7
SPG,WS->LSS1,Residual,Hilbert,0.8128277328108453,0.02624585987641909,85.71428571428571,7
SPG,WS->LSS1,IRASA,Hilbert,0.9947577180864996,3.8109567570099223e-06,100.0,7
L_STG,WS->TS,Residual,IRASA,0.9566917803064827,0.0007323665647184305,71.42857142857143,7
L_STG,WS->TS,Residual,Hilbert,0.9353412919854522,0.001971558706711524,71.42857142857143,7
L_STG,WS->TS,IRASA,Hilbert,0.9768560321975874,0.00015457611419563563,100.0,7
L_STG,TS->ESS1,Residual,IRASA,0.9136797124156542,0.004011912958249244,100.0,7
L_STG,TS->ESS1,Residual,Hilbert,0.9021202265590432,0.0054578947205154915,100.0,7
L_STG,TS->ESS1,IRASA,Hilbert,0.9818260367962267,8.469084640885e-05,100.0,7
L_STG,ESS1->LSS1,Residual,IRASA,0.9360386152058999,0.001919564352284351,100.0,7
L_STG,ESS1->LSS1,Residual,Hilbert,0.8718949345027187,0.010517071704717057,100.0,7
L_STG,ESS1->LSS1,IRASA,Hilbert,0.9757175839555551,0.00017418492071119413,100.0,7
L_STG,WS->ESS1,Residual,IRASA,0.9059427288421333,0.004951001969020833,85.71428571428571,7
L_STG,WS->ESS1,Residual,Hilbert,0.8897008640058807,0.007306802203364299,85.71428571428571,7
L_STG,WS->ESS1,IRASA,Hilbert,0.9762003628489153,0.00016569900717259707,100.0,7
L_STG,WS->LSS1,Residual,IRASA,0.9128475294227663,0.004107419420026971,85.71428571428571,7
L_STG,WS->LSS1,Residual,Hilbert,0.8899772814699133,0.007262227034258384,85.71428571428571,7
L_STG,WS->LSS1,IRASA,Hilbert,0.9975370239540192,5.774721428642267e-07,100.0,7
R_STG,WS->TS,Residual,IRASA,0.9631987453370585,0.0004892086274241158,71.42857142857143,7
R_STG,WS->TS,Residual,Hilbert,0.9459792092271263,0.0012652332653605774,71.42857142857143,7
R_STG,WS->TS,IRASA,Hilbert,0.9515213622760875,0.0009681811791551836,100.0,7
R_STG,TS->ESS1,Residual,IRASA,0.9087221743995677,0.004600373792437901,85.71428571428571,7
R_STG,TS->ESS1,Residual,Hilbert,0.8853841924391525,0.008023503801936838,85.71428571428571,7
R_STG,TS->ESS1,IRASA,Hilbert,0.9792494384603423,0.00011781037117361483,100.0,7
R_STG,ESS1->LSS1,Residual,IRASA,0.8970892392737675,0.006169255911318593,71.42857142857143,7
R_STG,ESS1->LSS1,Residual,Hilbert,0.8509993898846238,0.015165159760379849,71.42857142857143,7
R_STG,ESS1->LSS1,IRASA,Hilbert,0.9809645201057791,9.50430180110126e-05,100.0,7
R_STG,WS->ESS1,Residual,IRASA,0.9318555929849408,0.0022438196250584657,85.71428571428571,7
R_STG,WS->ESS1,Residual,Hilbert,0.9246125574063498,0.0028769513804686535,85.71428571428571,7
R_STG,WS->ESS1,IRASA,Hilbert,0.9872553836606127,3.4978336820237685e-05,100.0,7
R_STG,WS->LSS1,Residual,IRASA,0.8970708081146898,0.006171955387474488,71.42857142857143,7
R_STG,WS->LSS1,Residual,Hilbert,0.8637445210065188,0.012214575870920613,71.42857142857143,7
R_STG,WS->LSS1,IRASA,Hilbert,0.9946802808626475,3.95309089648614e-06,100.0,7
Occipital,WS->TS,Residual,IRASA,0.8770310159875983,0.009521740778039339,71.42857142857143,7
Occipital,WS->TS,Residual,Hilbert,0.8647488395334375,0.011997505020656923,71.42857142857143,7
Occipital,WS->TS,IRASA,Hilbert,0.8856544016434352,0.007977499976629282,100.0,7
Occipital,TS->ESS1,Residual,IRASA,0.9356381643496274,0.0019493231262793199,71.42857142857143,7
Occipital,TS->ESS1,Residual,Hilbert,0.8506908275261587,0.01524114044356014,71.42857142857143,7
Occipital,TS->ESS1,IRASA,Hilbert,0.9755972950366835,0.0001763386525941759,100.0,7
Occipital,ESS1->LSS1,Residual,IRASA,0.39568751708940597,0.37958754888961516,71.42857142857143,7
Occipital,ESS1->LSS1,Residual,Hilbert,0.3138765727062378,0.4930019691756656,71.42857142857143,7
Occipital,ESS1->LSS1,IRASA,Hilbert,0.9752444028039956,0.00018274828778531033,100.0,7
Occipital,WS->ESS1,Residual,IRASA,0.9158194078198734,0.0037723498152629326,85.71428571428571,7
Occipital,WS->ESS1,Residual,Hilbert,0.8922001323922681,0.006909498873069039,71.42857142857143,7
Occipital,WS->ESS1,IRASA,Hilbert,0.981295949808086,9.097611787988052e-05,85.71428571428571,7
Occipital,WS->LSS1,Residual,IRASA,0.7951098078995338,0.03257191589230405,85.71428571428571,7
Occipital,WS->LSS1,Residual,Hilbert,0.7431869963191655,0.05558707658316312,85.71428571428571,7
Occipital,WS->LSS1,IRASA,Hilbert,0.9862881014878976,4.197591285531115e-05,100.0,7
