roi,band,contrast,Hilbert,IRASA,Residual
FC_midline,alpha1,ESS1->LSS1,-0.07328560885940444,-0.2262538900953747,-0.7184824346446254
FC_midline,alpha1,TS->ESS1,-2.0168370238544813,-1.7381661526996244,-2.136970188562864
FC_midline,alpha1,WS->ESS1,-2.414792773364965,-1.8404070517699094,-2.5930522031734986
FC_midline,alpha1,WS->LSS1,-2.2477071485135878,-1.8316951717876289,-2.803364931416972
FC_midline,alpha1,WS->TS,-1.1802301835628588,-0.7620361196973314,-0.7645089665780769
FC_midline,alpha2,ESS1->LSS1,-0.24702155681487067,-0.1914828302241009,-0.6022316355006272
FC_midline,alpha2,TS->ESS1,-1.9954527712550227,-1.474493397315038,-2.088610514738915
FC_midline,alpha2,WS->ESS1,-2.172225417564428,-1.9084768935734948,-2.149933123913644
FC_midline,alpha2,WS->LSS1,-2.3059862331307395,-1.8915344007880854,-2.229294575116573
FC_midline,alpha2,WS->TS,-0.6877491823891038,-0.5304876953583663,-0.26962242055386515
FC_midline,beta1,ESS1->LSS1,0.6866151338173042,0.5391867050350622,0.5982156597281639
FC_midline,beta1,TS->ESS1,-1.1704359372084736,-0.692120342568592,-0.2700482140858783
FC_midline,beta1,WS->ESS1,-1.6897371907999366,-0.965365816739993,-0.5128541353509779
FC_midline,beta1,WS->LSS1,-0.7206191959448502,-0.544783616800277,-0.01035303255500989
FC_midline,beta1,WS->TS,-1.055758347094933,-0.7051948775289519,-0.4228031951071693
FC_midline,beta2,ESS1->LSS1,-0.395463717667621,-0.28120882348484283,-0.2627688633443571
FC_midline,beta2,TS->ESS1,-1.4799061458158074,-1.2815560519927538,-0.8163383250666383
FC_midline,beta2,WS->ESS1,-2.1168569660229735,-2.0162747700323393,-1.3009221824073474
FC_midline,beta2,WS->LSS1,-2.714960272271601,-2.1826082822809783,-1.4191601977792996
FC_midline,beta2,WS->TS,-1.4836342879661633,-1.1979505119868763,-0.6954479019554689
FC_midline,beta3,ESS1->LSS1,-0.670289669703604,-0.525132985715254,-0.591581886421474
FC_midline,beta3,TS->ESS1,-1.0899000869622653,-1.0557042040908629,-0.0009780515726904612
FC_midline,beta3,WS->ESS1,-1.3779505245472103,-1.189783732088591,0.13662259044784497
FC_midline,beta3,WS->LSS1,-1.963452420934943,-1.5233743134861295,-0.16027136539183912
FC_midline,beta3,WS->TS,-0.52067871381788,-0.39471535072554736,0.14186609420557136
FC_midline,delta,ESS1->LSS1,1.5924716704333344,0.8321774686739578,0.7034259493626961
FC_midline,delta,TS->ESS1,0.6585863166505982,0.2732671698021038,1.0977810191146187
FC_midline,delta,WS->ESS1,0.10032450594619872,0.21635666401079953,0.9323024909827141
FC_midline,delta,WS->LSS1,1.3052295662454827,1.0160197717899333,1.321276404179295
FC_midline,delta,WS->TS,-0.39263527830089157,-0.03361358836926589,0.14819674422650223
FC_midline,theta,ESS1->LSS1,1.408958971224295,0.6694706552261248,0.4741205489729613
FC_midline,theta,TS->ESS1,0.6365771396387183,0.317406054061782,0.5006832687029602
FC_midline,theta,WS->ESS1,0.5577492375786814,0.1457390882971199,0.6168596675657773
FC_midline,theta,WS->LSS1,1.474754569797652,0.7763955026790924,0.9792338125684186
FC_midline,theta,WS->TS,0.16273047480290428,-0.1472196366751566,0.2776537398083463
IPG,alpha1,ESS1->LSS1,0.038681823305048324,-0.2054075775372088,-0.6248335735559923
IPG,alpha1,TS->ESS1,-1.677570849362533,-1.5015571823020326,-2.0566762705272215
IPG,alpha1,WS->ESS1,-2.445784724250057,-2.0062387222121965,-2.6073995074953222
IPG,alpha1,WS->LSS1,-2.3145664050808246,-2.0229091401928643,-2.8373197979246507
IPG,alpha1,WS->TS,-1.2938074709137173,-1.0113982973498328,-0.8550442126749469
IPG,alpha2,ESS1->LSS1,-0.06543554611228201,-0.037115106874355146,-0.39285290193512346
IPG,alpha2,TS->ESS1,-1.8041757587924259,-1.4500477331455834,-1.8059266378243855
IPG,alpha2,WS->ESS1,-1.8939650385907514,-1.5644022256584211,-1.7923467621015101
IPG,alpha2,WS->LSS1,-1.9006916143976125,-1.4951006064590193,-1.7823825285820272
IPG,alpha2,WS->TS,-0.6904635926641637,-0.48370021833223575,-0.2703628686600684
IPG,beta1,ESS1->LSS1,0.6376950355039079,0.41551644179087155,0.5022117035119406
IPG,beta1,TS->ESS1,-1.0546200843940492,-0.3187012875739074,-0.2302329748676001
IPG,beta1,WS->ESS1,-1.4479870099638532,-0.8810903941790955,-0.5677528587871804
IPG,beta1,WS->LSS1,-0.5296309531963598,-0.49369212307023697,-0.07248281867101355
IPG,beta1,WS->TS,-0.8211347448120022,-0.6979375086603515,-0.516438224929817
IPG,beta2,ESS1->LSS1,-0.28073402822567317,-0.39411489509448555,-0.29969189204003616
IPG,beta2,TS->ESS1,-1.5423513358494991,-1.144506088848778,-0.6399503786046683
IPG,beta2,WS->ESS1,-2.002843186453289,-1.678566447980493,-1.2148799610466765
IPG,beta2,WS->LSS1,-2.556238202387294,-2.1615388735097922,-1.2938617235988088
IPG,beta2,WS->TS,-1.2761038215286364,-0.9364687755733055,-0.7385560352642941
IPG,beta3,ESS1->LSS1,-0.6405504694664277,-0.500656143895527,-0.44286455914581596
IPG,beta3,TS->ESS1,-1.0239389725785133,-0.9343476043326088,0.10450323713061233
IPG,beta3,WS->ESS1,-1.1816973178424486,-1.1825279548612906,0.18064312475283598
IPG,beta3,WS->LSS1,-1.7198663135849785,-1.3890819306986026,-0.08064894032026149
IPG,beta3,WS->TS,-0.3178014460986796,-0.3941585754075288,0.09759293800227503
IPG,delta,ESS1->LSS1,1.6169479476136346,0.855084633191198,0.6356769624412396
IPG,delta,TS->ESS1,0.5975942997950133,0.2185886364730644,0.7947757908886836
IPG,delta,WS->ESS1,0.028373551040500086,0.024151477736903525,0.4648397256305924
IPG,delta,WS->LSS1,1.236691350110983,0.8566476197327785,0.8432206392867915
IPG,delta,WS->TS,-0.41779175704655436,-0.17041825185410164,-0.10174532345174785
IPG,theta,ESS1->LSS1,1.4821751781758024,0.7394525761241254,0.5651002456292958
IPG,theta,TS->ESS1,0.5488940525114617,0.2657800784069028,0.46561427643829184
IPG,theta,WS->ESS1,0.4823649081740806,0.09326644821334688,0.5942382158711055
IPG,theta,WS->LSS1,1.4569131365942338,0.8036325544467046,0.9411532353411386
IPG,theta,WS->TS,0.16670590298715457,-0.14141553763896292,0.2307984840803332
L_DLPFC,alpha1,ESS1->LSS1,-0.046216939083995476,-0.16617369860305534,-0.6115430184237474
L_DLPFC,alpha1,TS->ESS1,-1.796342318661165,-1.6453712813535653,-2.0293658541219988
L_DLPFC,alpha1,WS->ESS1,-2.489857226173236,-2.475331661999014,-2.7604274277046255
L_DLPFC,alpha1,WS->LSS1,-2.3953739684287356,-2.3714117978302305,-2.8168004206550297
L_DLPFC,alpha1,WS->TS,-1.286459111507942,-1.0554282437321134,-0.8500363456604152
L_DLPFC,alpha2,ESS1->LSS1,-0.13021209795503105,-0.0002347062746574974,-0.3238132674829168
L_DLPFC,alpha2,TS->ESS1,-1.9529714831874294,-1.4055721682547335,-1.7807132856860781
L_DLPFC,alpha2,WS->ESS1,-1.946755339772271,-1.7420547164368787,-1.9049616121450892
L_DLPFC,alpha2,WS->LSS1,-2.0683100144085755,-1.6971149413584123,-1.9710276608874038
L_DLPFC,alpha2,WS->TS,-0.7294986870356573,-0.5211924222810251,-0.3840046885939728
L_DLPFC,beta1,ESS1->LSS1,0.4895832525051678,0.2950240556088314,0.40670220115006134
L_DLPFC,beta1,TS->ESS1,-1.1357132772920313,-0.4291933239840034,-0.05432134995806563
L_DLPFC,beta1,WS->ESS1,-1.4557286209563087,-0.9359191933910168,-0.21219039948852314
L_DLPFC,beta1,WS->LSS1,-0.727734032096722,-0.6605621209332619,0.09383674534400617
L_DLPFC,beta1,WS->TS,-0.894208465771787,-0.7260260720441494,-0.21905337892385693
L_DLPFC,beta2,ESS1->LSS1,-0.3915260689463054,-0.25146662141187043,-0.1337477964626132
L_DLPFC,beta2,TS->ESS1,-1.6142472402649422,-1.3355302735913104,-0.6641629169903022
L_DLPFC,beta2,WS->ESS1,-2.1618554578835982,-1.7167674820661374,-1.2707139603718731
L_DLPFC,beta2,WS->LSS1,-2.5747004685516446,-1.8415695366778255,-1.2642834501250388
L_DLPFC,beta2,WS->TS,-1.3649669057682474,-0.968581894700757,-0.7539370596695386
L_DLPFC,beta3,ESS1->LSS1,-0.6917842380344671,-0.5706965910185857,-0.4172966499802211
L_DLPFC,beta3,TS->ESS1,-1.220418803635487,-1.0312550811980499,-0.09621000214290167
L_DLPFC,beta3,WS->ESS1,-1.3894115514572734,-1.1642517984130862,0.10826398905741812
L_DLPFC,beta3,WS->LSS1,-1.8393046219508402,-1.4051123475042393,-0.10990446817680471
L_DLPFC,beta3,WS->TS,-0.45559783425250977,-0.31201210841663285,0.17957291891455832
L_DLPFC,delta,ESS1->LSS1,1.56424525286096,0.6951584258528959,0.6375025233683448
L_DLPFC,delta,TS->ESS1,0.5924865954326837,0.29879598682772684,0.6712203745031027
L_DLPFC,delta,WS->ESS1,0.07256063242567222,0.09461896216871486,0.4458710322719187
L_DLPFC,delta,WS->LSS1,1.2695562122751005,0.7566118088128113,0.9423742073414025
L_DLPFC,delta,WS->TS,-0.3807790382950367,-0.14970386329704213,-0.0457645401919183
L_DLPFC,theta,ESS1->LSS1,1.3767066111597785,0.6000039159431169,0.38107693681357124
L_DLPFC,theta,TS->ESS1,0.4971462872119292,0.26762615945868135,0.3020302111077725
L_DLPFC,theta,WS->ESS1,0.4716617278259813,0.1328169364206616,0.5429044787908304
L_DLPFC,theta,WS->LSS1,1.351102067204018,0.681157202720453,0.8320349475800164
L_DLPFC,theta,WS->TS,0.18609574049448113,-0.07732182722502204,0.3194763707974344
L_STG,alpha1,ESS1->LSS1,-0.040087225691019086,-0.17088117450365103,-0.6893909739846253
L_STG,alpha1,TS->ESS1,-1.711716633159108,-1.5240122818067434,-1.9414901695069908
L_STG,alpha1,WS->ESS1,-2.3643103992085255,-1.971567406922262,-2.406476368583679
L_STG,alpha1,WS->LSS1,-2.208085520491808,-1.884100077716176,-2.591829033229047
L_STG,alpha1,WS->TS,-1.2631748772635003,-0.9909144302987806,-0.6453949748084381
L_STG,alpha2,ESS1->LSS1,-0.24907206961095824,-0.12820145450547552,-0.6204134529667596
L_STG,alpha2,TS->ESS1,-1.6812770095409948,-1.433146607269452,-1.744305306260481
L_STG,alpha2,WS->ESS1,-1.8491927574704792,-1.6621269036888522,-1.7803782547785407
L_STG,alpha2,WS->LSS1,-2.083450719897879,-1.6947222836957303,-2.0065650164153888
L_STG,alpha2,WS->TS,-0.7143105062414091,-0.6233785843778206,-0.28008260945365643
L_STG,beta1,ESS1->LSS1,0.8074331914511715,0.6510689845316812,0.7161141248020735
L_STG,beta1,TS->ESS1,-1.0290218359702217,-0.5988540207090343,-0.27362787907029545
L_STG,beta1,WS->ESS1,-1.5367331849864185,-0.9068069709076438,-0.5213220451082073
L_STG,beta1,WS->LSS1,-0.4495223539970669,-0.3962109319882694,0.11393700323559941
L_STG,beta1,WS->TS,-0.9796164589043148,-0.682043428030727,-0.41072488836762777
L_STG,beta2,ESS1->LSS1,-0.3267154688568,-0.1280320083459144,-0.18139054307128946
L_STG,beta2,TS->ESS1,-1.457534541093419,-1.3392968351334908,-0.9155017357741934
L_STG,beta2,WS->ESS1,-2.0683231860757267,-1.8743416646615572,-1.3719534506860032
L_STG,beta2,WS->LSS1,-2.5394266352464925,-1.8982161244531879,-1.4970224320025145
L_STG,beta2,WS->TS,-1.495678868564248,-1.213124893437985,-0.7486607078984673
L_STG,beta3,ESS1->LSS1,-0.621422485829607,-0.44007645565555886,-0.569927640970905
L_STG,beta3,TS->ESS1,-1.013439384170977,-0.9872840184969183,-0.06373230257396303
L_STG,beta3,WS->ESS1,-1.2456261290061839,-1.1341808923368915,0.2626839576402277
L_STG,beta3,WS->LSS1,-1.6513295883172843,-1.2915455122099595,-0.09204357766098713
L_STG,beta3,WS->TS,-0.4928802673595801,-0.33514723143196684,0.3148984422254611
L_STG,delta,ESS1->LSS1,1.6800814560146946,0.8375898323985446,0.70189166072623
L_STG,delta,TS->ESS1,0.6436437305068817,0.2761691634588815,1.0400819293394752
L_STG,delta,WS->ESS1,0.06922985642157543,0.07814285476056537,0.8048282707813887
L_STG,delta,WS->LSS1,1.3265141633234199,0.9593734962940713,1.1917619641223691
L_STG,delta,WS->TS,-0.42559724519301684,-0.19706829525468006,0.10007076903020343
L_STG,theta,ESS1->LSS1,1.4393675279335456,0.7893386307451813,0.40628598758173495
L_STG,theta,TS->ESS1,0.6750411012520192,0.31328488467043575,0.461590432999678
L_STG,theta,WS->ESS1,0.6061133174545205,0.24606801542012607,0.6735242093616
L_STG,theta,WS->LSS1,1.5584444144830654,0.9594987727787221,0.9942327623390141
L_STG,theta,WS->TS,0.22067422177496232,0.026073091295573062,0.35738890020866154
Occipital,alpha1,ESS1->LSS1,-0.13686825182423032,-0.125782829232145,-0.4841329629023207
Occipital,alpha1,TS->ESS1,-1.6445984333122419,-1.4970148340044727,-1.8865183370448961
Occipital,alpha1,WS->ESS1,-2.3810244786442336,-2.2619139950336367,-2.1484170478154287
Occipital,alpha1,WS->LSS1,-2.3471930403456134,-2.1733344490789723,-2.396730536476059
Occipital,alpha1,WS->TS,-1.2631871338206708,-1.1343406681390802,-0.598597375816947
Occipital,alpha2,ESS1->LSS1,-0.07900111390275498,-0.14462209465916478,-0.04354073465782367
Occipital,alpha2,TS->ESS1,-1.4969331205178782,-1.182827601581769,-1.311862147521726
Occipital,alpha2,WS->ESS1,-1.8169087197786444,-1.456972700476251,-1.4324325223940424
Occipital,alpha2,WS->LSS1,-1.728153104344661,-1.532920185119072,-1.358278404099688
Occipital,alpha2,WS->TS,-0.7407646183754399,-0.7922747368800049,-0.45128775839191804
Occipital,beta1,ESS1->LSS1,0.16625935611636522,0.06907137741476915,0.34917294472366106
Occipital,beta1,TS->ESS1,-0.5435752907685092,-0.19333625728469603,0.2537639604371584
Occipital,beta1,WS->ESS1,-1.1234646313129935,-0.8755957026174417,-0.3357631951550148
Occipital,beta1,WS->LSS1,-0.9189087186686594,-0.8293405709929706,-0.038456551488103556
Occipital,beta1,WS->TS,-0.9709075848370187,-1.035574211259575,-0.6018486058273919
