roi,stage,aperiodic_exponent_mean,aperiodic_exponent_std,aperiodic_exponent_sem,aperiodic_offset_mean,aperiodic_offset_std,aperiodic_offset_sem,power_delta_mean,power_delta_std,power_delta_sem,log10_power_delta_mean,log10_power_delta_std,log10_power_delta_sem,delta_peak_cf_hz_mean,delta_peak_cf_hz_std,delta_peak_cf_hz_sem,delta_peak_height_log10_mean,delta_peak_height_log10_std,delta_peak_height_log10_sem,delta_peak_power_log10_mean,delta_peak_power_log10_std,delta_peak_power_log10_sem,delta_peak_present_mean,delta_peak_present_std,delta_peak_present_sem,power_theta_mean,power_theta_std,power_theta_sem,log10_power_theta_mean,log10_power_theta_std,log10_power_theta_sem,theta_peak_cf_hz_mean,theta_peak_cf_hz_std,theta_peak_cf_hz_sem,theta_peak_height_log10_mean,theta_peak_height_log10_std,theta_peak_height_log10_sem,theta_peak_power_log10_mean,theta_peak_power_log10_std,theta_peak_power_log10_sem,theta_peak_present_mean,theta_peak_present_std,theta_peak_present_sem,power_alpha1_mean,power_alpha1_std,power_alpha1_sem,log10_power_alpha1_mean,log10_power_alpha1_std,log10_power_alpha1_sem,alpha1_peak_cf_hz_mean,alpha1_peak_cf_hz_std,alpha1_peak_cf_hz_sem,alpha1_peak_height_log10_mean,alpha1_peak_height_log10_std,alpha1_peak_height_log10_sem,alpha1_peak_power_log10_mean,alpha1_peak_power_log10_std,alpha1_peak_power_log10_sem,alpha1_peak_present_mean,alpha1_peak_present_std,alpha1_peak_present_sem,power_alpha2_mean,power_alpha2_std,power_alpha2_sem,log10_power_alpha2_mean,log10_power_alpha2_std,log10_power_alpha2_sem,alpha2_peak_cf_hz_mean,alpha2_peak_cf_hz_std,alpha2_peak_cf_hz_sem,alpha2_peak_height_log10_mean,alpha2_peak_height_log10_std,alpha2_peak_height_log10_sem,alpha2_peak_power_log10_mean,alpha2_peak_power_log10_std,alpha2_peak_power_log10_sem,alpha2_peak_present_mean,alpha2_peak_present_std,alpha2_peak_present_sem,power_beta1_mean,power_beta1_std,power_beta1_sem,log10_power_beta1_mean,log10_power_beta1_std,log10_power_beta1_sem,beta1_peak_cf_hz_mean,beta1_peak_cf_hz_std,beta1_peak_cf_hz_sem,beta1_peak_height_log10_mean,beta1_peak_height_log10_std,beta1_peak_height_log10_sem,beta1_peak_power_log10_mean,beta1_peak_power_log10_std,beta1_peak_power_log10_sem,beta1_peak_present_mean,beta1_peak_present_std,beta1_peak_present_sem,power_beta2_mean,power_beta2_std,power_beta2_sem,log10_power_beta2_mean,log10_power_beta2_std,log10_power_beta2_sem,beta2_peak_cf_hz_mean,beta2_peak_cf_hz_std,beta2_peak_cf_hz_sem,beta2_peak_height_log10_mean,beta2_peak_height_log10_std,beta2_peak_height_log10_sem,beta2_peak_power_log10_mean,beta2_peak_power_log10_std,beta2_peak_power_log10_sem,beta2_peak_present_mean,beta2_peak_present_std,beta2_peak_present_sem,power_beta3_mean,power_beta3_std,power_beta3_sem,log10_power_beta3_mean,log10_power_beta3_std,log10_power_beta3_sem,beta3_peak_cf_hz_mean,beta3_peak_cf_hz_std,beta3_peak_cf_hz_sem,beta3_peak_height_log10_mean,beta3_peak_height_log10_std,beta3_peak_height_log10_sem,beta3_peak_power_log10_mean,beta3_peak_power_log10_std,beta3_peak_power_log10_sem,beta3_peak_present_mean,beta3_peak_present_std,beta3_peak_present_sem,power_broadband_mean,power_broadband_std,power_broadband_sem,log10_power_broadband_mean,log10_power_broadband_std,log10_power_broadband_sem
FC_midline,ESS1,1.6503411646316524,0.25578095813695767,0.032749395826102735,1.6087693100319755,0.30422737138642786,0.03895232342250461,21.37878489776232,9.138594890581652,1.1700771767607796,1.2920297525180584,0.18595600693506217,0.023809226932745325,3.0163934426229506,0.7498178285132223,0.09600433528089224,0.05458640920227977,0.10734584947658926,0.013744227640728782,0.885340597495099,0.25688490038982287,0.032890741147785695,0.639344262295082,0.48417582499356243,0.061992361971111604,12.830178161629279,7.657167513650373,0.9803998375713244,1.0418019103899132,0.24177323194237596,0.0309558902691942,6.209016393442623,1.1745392074029608,0.1503843354747317,0.3075642713527206,0.10558571616767483,0.013518865663589416,0.6248839369397541,0.2834015372711122,0.03628584860037953,1.0,0.0,0.0,4.061239105685856,2.4550243571035857,0.3143336588428069,0.5465317252595571,0.22908391695159777,0.029331189969289236,8.96311475409836,0.6548474147555458,0.08384461981742314,0.36134202464140674,0.18911207715328762,0.024213320316336048,0.39966212611163654,0.2629236536240997,0.03366392427058718,1.0,0.0,0.0,2.189317231592567,1.1937502068218908,0.15284405190072417,0.2783688861961099,0.23645404357068567,0.030274837986307635,11.028688524590164,0.4474426421708006,0.05728915985248053,0.3640247057333139,0.1832870221323327,0.023467498446015526,0.2524778575760992,0.2543881722082399,0.03257106786137527,0.9836065573770492,0.12803687993289598,0.01639344262295082,3.038778797631507,1.3871469195329817,0.1776059635855309,0.4430118571189695,0.18235710932559107,0.02334843531163069,14.53688524590164,1.809026018776961,0.23162204716163054,0.22859633465843374,0.11833314289634671,0.015151006409101764,-0.07458253932905731,0.20929271912743777,0.02679718674974907,0.9672131147540983,0.1795562228341584,0.022989818544221455,0.8666329911085835,0.4018417321853543,0.05145056161584315,-0.10674965590746842,0.19849548953614085,0.025414743160960276,19.668032786885245,0.8437531623093945,0.10803152233560924,0.14349882808989617,0.07625685070728687,0.009763689238069662,-0.38139323820065685,0.20219460974567882,0.02588836697108624,0.9672131147540983,0.1795562228341584,0.02298981854422145,1.6178775878876748,0.9342077638623628,0.11961304729402458,0.1447011837497156,0.23863789535365956,0.030554451554835504,23.66393442622951,2.053394164701072,0.26291018212074035,0.14348909493628995,0.07645784259891696,0.00978942361276579,-0.5118214320135223,0.21991112693555387,0.028156734555355355,0.9836065573770492,0.12803687993289598,0.01639344262295082,51.84422192157266,22.6913203057018,2.905325853500026,1.6762962680917761,0.18389692014471148,0.023545587884597784
FC_midline,LSS1,2.071679285642074,0.26441774938120177,0.03385522362964751,2.1269385584180243,0.3451160093447718,0.04418757705139676,50.316349173014075,26.661691249174044,3.4136797612784404,1.6459685668379411,0.22361717706626558,0.028631245650966586,3.3114754098360657,0.24003358143930453,0.030733150846607243,0.1762571376893573,0.13911757213390127,0.01781217987986431,1.228948151244061,0.29886590136368335,0.03826585752893866,0.9344262295081968,0.24958982745138694,0.03195670276986545,27.342530216081844,18.241918826799022,2.335638370572501,1.3463411682394812,0.2855598391438562,0.036562190838119,5.795081967213115,0.9847886794482353,0.1260892699097889,0.3806553974913409,0.13814074766493167,0.017687110322615333,0.9444405189850419,0.3639692006034812,0.04660148083694005,1.0,0.0,0.0,3.996735554158606,1.7802050641267855,0.2279319020515346,0.5555277842461308,0.20888461068982103,0.02674493381872233,8.954918032786885,0.6944845161480556,0.08891963060930395,0.23313974133590976,0.10116922627228102,0.01295339207712803,0.39049859668669434,0.23792852514601787,0.03046362600673171,1.0,0.0,0.0,2.1533192936357475,1.4771093091624201,0.1891244672649917,0.24543397916060833,0.2799610817461257,0.035845343409412374,11.098360655737705,0.45707103870867766,0.05852194970394701,0.2360540012328967,0.17225462126113036,0.022054944260297818,0.19883795690784523,0.30029280878189624,0.038448554302719734,0.9508196721311475,0.21803894974650143,0.02791702682938754,4.103499236010995,2.288635837637226,0.2930297919536803,0.5523641051138504,0.2310150183520895,0.029578442167442244,14.807377049180328,1.4981887972252188,0.1918234191471352,0.3324837630207252,0.17846626411946992,0.022850263631137072,0.03993383196040196,0.29435901800295794,0.03768881024520989,1.0,0.0,0.0,0.7652656259098115,0.3656237943210734,0.04681332985409713,-0.15960260572052481,0.19333729557279541,0.024754304099804825,19.75409836065574,0.8726060146656114,0.11172575152846376,0.11985509718858492,0.07105251840565285,0.009097342768034457,-0.4353273940716092,0.1973363815375608,0.025266334589316822,0.9508196721311475,0.21803894974650143,0.02791702682938754,1.284283495988515,0.7543977680275665,0.09659073644659025,0.05093563986728433,0.22090787272738704,0.028284354776627923,23.84016393442623,1.8056813042941984,0.2311938003549913,0.09342627472497635,0.0767769941972141,0.009830286787637352,-0.6304530667774743,0.23433395969541787,0.030003389061722303,0.9180327868852459,0.27659127289275987,0.03541388359785716,100.5061925087731,51.385445346970826,6.579232096188491,1.9464767690752507,0.22575095264962441,0.028904447619136846
FC_midline,TS,1.4317796103795954,0.2763490177194522,0.03538286600131924,1.5283993027582679,0.36747211127993834,0.04704998259063726,17.492653494587877,8.993644061070457,1.1515181248064812,1.1878054357631838,0.2244096636089625,0.028732713155282304,2.487704918032787,0.9436478747262721,0.12082172963526017,-0.0896338122264448,0.15373509904448437,0.019683762417830514,0.9029782278285463,0.31584454864706196,0.04043975055258359,0.21311475409836064,0.41290653092278473,0.05286726392326918,10.369290067466203,6.130978688408797,0.7849913821989413,0.9433751103525906,0.25815675179895536,0.03305358503394928,6.569672131147541,1.1955918579140552,0.15307985116048992,0.2219763757621646,0.1563400250881011,0.020017289020911145,0.5833970731010394,0.28695526953359646,0.03674085739138489,0.9836065573770492,0.12803687993289598,0.01639344262295082,21.061356721048785,17.512981797026583,2.2423075476128855,1.15744013717661,0.4093705932466295,0.0524145334955771,9.807377049180328,0.29366024381556,0.03759934137847781,1.065280094366489,0.371986712438954,0.04762801803717905,1.174749440864708,0.45785187391197935,0.058621925407119524,1.0,0.0,0.0,12.661155837084163,10.574029047633871,1.3538656875788522,0.9621739381558924,0.3613989883717505,0.04627239888202389,10.778688524590164,0.47674757615127894,0.06104127216598048,1.0514409586533597,0.34372285690525234,0.04400920215976978,1.1026389327143427,0.39319316133485527,0.050343225588266656,1.0,0.0,0.0,4.544607084811307,3.06188154118768,0.3920337592577975,0.5860447157559818,0.23681580349590498,0.03032115659841747,14.344262295081966,2.1258154976513466,0.272182783632275,0.2638382802974872,0.14396222614030957,0.018432474263199234,0.14356355016487854,0.2970054534429114,0.03802765158188537,0.9672131147540983,0.1795562228341584,0.02298981854422145,1.7707149492540748,1.0643495181453941,0.1362759914614175,0.1809678369391965,0.23872814877235804,0.030566007320968935,19.733606557377048,0.8451686868842326,0.10821276168563985,0.27714103435322707,0.16185418449863284,0.020723304787288246,-0.04714532053088659,0.25536801532565057,0.03269652391695226,0.9836065573770492,0.12803687993289598,0.01639344262295082,2.1923974774666455,1.193628854789967,0.15282851436518313,0.276901645855572,0.24513673371643843,0.03138654254199392,22.471311475409838,1.6968711161132577,0.21726208335539238,0.14359647101441492,0.1275488443136674,0.016330956064968673,-0.26092395064385854,0.2411165249904031,0.03087180756003335,0.8524590163934426,0.35758754516763636,0.045784393586127674,84.78683204027796,48.60984168934668,6.2238524639359625,1.8629294091820947,0.243345789887603,0.031157235682014756
FC_midline,WS,1.3632182375498894,0.2590051845598263,0.033162215717484046,1.5662329295223112,0.35659889097450764,0.045657809387906895,22.501952561307952,18.441765647620922,2.3612261339750455,1.26832312230782,0.25755792813213113,0.03297691352001913,1.9959016393442623,0.9546943263844196,0.12223608283989894,-0.11213906301909912,0.17216912642273854,0.022043997767939763,1.0908747155974328,0.30673694990312844,0.039273642025729576,0.21311475409836064,0.4129065309227847,0.05286726392326918,10.25977978702511,6.6859776993696,0.8560517239282055,0.9305542097001085,0.2646913177628074,0.03389025047167658,7.139344262295082,0.6132641324705558,0.07852042609628415,0.17508890795773926,0.1981518665272031,0.025370746743022733,0.5802527331527151,0.313138657902722,0.040093296744239004,0.819672131147541,0.3876509048663705,0.04963361236225396,39.41489007677383,30.996936422878196,3.9687510270636657,1.4366873062031031,0.4111850805940977,0.05264685479422464,9.717213114754099,0.35200440881491374,0.04506954622728514,1.2579689736431179,0.37356196112819323,0.04782970796446763,1.4788323443306033,0.4415724235857136,0.05653755538032189,1.0,0.0,0.0,18.642106522027806,13.359434712246367,1.7105003382232509,1.1456421222162585,0.3543953961089407,0.045375680780371554,10.782786885245901,0.37769975354127067,0.04835949799484807,1.1240202874342087,0.35113075153949774,0.04495768587561021,1.2829646998143143,0.3735914597714212,0.047833484878708796,1.0,0.0,0.0,6.834205288588358,5.524640628238809,0.7073577487902114,0.7335738586435875,0.27975793096461976,0.03581933261719242,14.971311475409836,2.4937832540204425,0.319296227073682,0.3350627053868226,0.18089925064137796,0.023161775634320966,0.3026325411408612,0.3735744847579272,0.04783131145094421,0.9836065573770492,0.12803687993289598,0.01639344262295082,3.0172076578133638,1.9099574316412327,0.24454499035199087,0.39967357418670957,0.2662019301194849,0.034083664564613654,19.64344262295082,0.7819034152756159,0.10011247370076533,0.3763643293570789,0.1746893463947184,0.02236667886989663,0.18041483771034175,0.30642675105712475,0.03923392513332848,1.0,0.0,0.0,2.678307362965753,1.5810749505569117,0.20243590360936473,0.36471473499702584,0.23123984440539944,0.029607228193835673,22.34426229508197,1.40027075836115,0.17928629896183176,0.12284872329011183,0.15910959992091678,0.020371896741245534,-0.14859269810740067,0.24067251990638416,0.030814958534401228,0.7704918032786885,0.4240063923634022,0.05428845554981331,124.5393989561092,69.52492622994507,8.901754632046925,2.032178923393328,0.24080384941979627,0.03083177355554162
IPG,ESS1,1.6074859768973064,0.2558146759282768,0.03275371294690147,1.5431637574105648,0.29864150667793427,0.03823712673350182,21.927018694877457,10.966441083390965,1.4041089002853067,1.294403846870133,0.20115919924523432,0.025755796241159562,2.639344262295082,0.9634190311116948,0.12335316681151504,0.07939673013932701,0.11732482368676986,0.015021904363531142,0.98776636336183,0.30457515421497766,0.03899685245076637,0.7377049180327869,0.4435327625727436,0.056788551067832024,11.573879950726111,7.434384191246659,0.9518753560696684,0.9928826616463655,0.24275038646710517,0.031081002085752842,6.077868852459017,1.1213282521992962,0.1435713707922054,0.28942118043783926,0.10333429735847972,0.013230601023837838,0.5864617211131,0.29075029409132414,0.03722676049502506,1.0,0.0,0.0,3.312493741706126,1.944995836206573,0.24903119835036358,0.46251723907726133,0.21854446675538056,0.027981751649957434,8.950819672131148,0.6874161647841555,0.08801462095440074,0.2976587227611526,0.18128844405251737,0.023211606744373697,0.3127254192323532,0.2591989969656451,0.033187030853217364,1.0,0.0,0.0,1.809210768998185,0.9354564527454061,0.11977292552261634,0.203331605539909,0.2186386253772045,0.027993807426114556,11.004098360655737,0.4575564702823769,0.058584102848064375,0.2914080343223366,0.16598545399724776,0.02125225964405284,0.16025403372107597,0.2205814306151085,0.02824255814709307,0.9836065573770492,0.12803687993289598,0.01639344262295082,2.9228716808237203,1.4094084375084932,0.18045625888968547,0.4219605196636569,0.19134823704140433,0.024499631251441608,14.520491803278688,1.957514943518532,0.2506341057901319,0.21160841752804785,0.11040701015608353,0.014136169103104492,-0.1061705577573211,0.1917011088903319,0.02454481186199444,0.9836065573770492,0.12803687993289598,0.01639344262295082,0.8542584791632405,0.41358252028098447,0.052953815491560925,-0.11806086453096766,0.21043017369710615,0.026942822883914825,19.737704918032787,0.8195860610548531,0.10493724209395537,0.14436089693755372,0.07606279566852743,0.009738843036371646,-0.392649926120402,0.21115049771114955,0.027035050923213684,0.9672131147540983,0.1795562228341584,0.02298981854422145,1.7332961299537084,1.1683097541949015,0.1495867357222838,0.15934959966189072,0.2607379801233452,0.033384077454998565,24.278688524590162,1.8692123790604398,0.23932812094684436,0.13662663162000593,0.07172709372824486,0.009183713287618862,-0.5434081016502448,0.2504565794404808,0.03206767899022466,0.9672131147540983,0.1795562228341584,0.02298981854422145,49.3526526755069,24.0425584038774,3.0783341636368897,1.6499512418458686,0.19097834229826718,0.024452271082626743
IPG,LSS1,2.0383272969606514,0.27372809578163687,0.035047291333853696,2.0787900996023643,0.34384625806285185,0.04402500205896893,50.9746085934689,27.348833946657514,3.5016593683328976,1.6499612810773114,0.2278903197463091,0.029178365507227452,3.2131147540983607,0.40526756998147334,0.051889195198414416,0.19187878139739128,0.15250297399337345,0.019526004970599115,1.2387106174001064,0.3020457631297967,0.03867299710808972,0.9180327868852459,0.27659127289275987,0.03541388359785716,25.670351472745867,18.63296351613005,2.3857065125087744,1.310865991476016,0.2920392807201274,0.03739179832125225,5.569672131147541,1.017688503772339,0.13030166076658753,0.3710546961692643,0.15238789784002066,0.019511270978969143,0.9466425326365588,0.36437633858928314,0.046653609514344295,1.0,0.0,0.0,3.5210765310903325,1.7513508718933561,0.22423750130498232,0.4935530489433565,0.21901159185137084,0.028041560889786387,9.004098360655737,0.754834147454879,0.09664660910693024,0.18765996238562185,0.10937281498775295,0.01400375398050977,0.32403443819920835,0.24971906691054777,0.03197325018698062,0.9836065573770492,0.12803687993289598,0.01639344262295082,2.001866738053559,1.3950486211660067,0.17861767280878407,0.2140444135662486,0.27129302197413135,0.034735512081134366,11.200819672131148,0.5017047441207069,0.06423671008474725,0.2095685246004488,0.17300507254336167,0.022151029701016355,0.15156012884363373,0.3024406260103207,0.03872355411931332,0.9508196721311475,0.21803894974650143,0.02791702682938754,3.8588483660993727,2.118768506323347,0.2712805088497237,0.5246087239551604,0.23442326395470217,0.030014823300445782,15.110655737704919,1.4101747750455835,0.18055437835690996,0.29233455987293655,0.16953383987147325,0.021706583900186635,-0.026818089019403978,0.286273984154532,0.03665362773710558,0.9836065573770492,0.12803687993289598,0.01639344262295082,0.7846543747431157,0.3989931618715822,0.0510858395605983,-0.15456200621993824,0.2065994591740851,0.026452350148473577,19.50409836065574,0.8520707659366872,0.10909648235256633,0.11623920816476685,0.06281100952663157,0.008042125685225311,-0.4329293500696099,0.21614204885177807,0.027674153557285242,0.9836065573770492,0.12803687993289598,0.01639344262295082,1.3742176155060108,0.9332690969347173,0.11949286330931265,0.06554674380068165,0.24512684255819464,0.03138527610895346,24.139344262295083,2.1416137753669613,0.2742055458192957,0.10186239184123032,0.07572830284058497,0.009696015618321964,-0.6339821197028312,0.2701903103399425,0.03459432432402712,0.9508196721311475,0.21803894974650143,0.027917026829387542,98.18343295234284,51.585206439903864,6.604808883259623,1.9338251419626051,0.23037117379320524,0.029496006318960932
IPG,TS,1.4341521890726445,0.2711023194308398,0.034711095122496045,1.4845639226573961,0.3560238061375227,0.045584177319682624,19.918481455326383,15.16949524004813,1.9422548406926794,1.217314530338003,0.2563427978468332,0.03282133202957761,2.262295081967213,1.0669526597474122,0.1366092895901634,-0.03649711240541693,0.15952804156422695,0.020425472703688965,0.9950218853712681,0.42946279755931227,0.05498707664674728,0.3770491803278688,0.4886694324465673,0.06256770944903756,9.283698208004504,5.672120665584918,0.7262406326243942,0.8972173020482039,0.24816801973843325,0.03177465894643434,6.545081967213115,1.2192109783938403,0.15610396965348075,0.20779108971357282,0.1525790486561136,0.01953574533305831,0.5255165371986228,0.27747315458323957,0.03552679697797613,0.9836065573770492,0.12803687993289598,0.01639344262295082,16.33128231076938,16.007403969001665,2.0495380600164284,1.031325043874874,0.41153144239507533,0.052691201878549754,9.758196721311476,0.3060746542741998,0.039188843759808356,0.9488254220350011,0.3583470827862194,0.04588164241300271,1.0153349670147735,0.43380147458540336,0.05554258731620451,1.0,0.0,0.0,7.333624980513298,5.5759139133874855,0.7139226202445575,0.751217932899167,0.32224758959497035,0.04125957593763636,10.758196721311476,0.408164624454078,0.05226012501408236,0.8594414693211814,0.3413790379824565,0.043709106897767316,0.8650086429013704,0.3729248515119298,0.04774813443702602,1.0,0.0,0.0,4.08917535115629,2.9672057150733586,0.3799117618770504,0.5358973298768607,0.23920883407146992,0.03062755276689683,14.19672131147541,1.9542233933300077,0.2502126659738507,0.2359257539350819,0.12662904743813808,0.01621318814285387,0.07529010543173649,0.2738473409868434,0.035062559117875286,0.9672131147540983,0.1795562228341584,0.02298981854422145,1.4682721057655472,0.8327460067394261,0.10662220047949449,0.10924389952390146,0.22049112493447198,0.028230995689504153,19.766393442622952,0.8327525298408188,0.10662303567704429,0.23781016345978523,0.14385867149876905,0.018419215449993816,-0.13488215305892765,0.23654463076574436,0.03028643648812482,0.9836065573770492,0.12803687993289598,0.01639344262295082,2.1648074922903735,1.3061675851473908,0.16723762227175715,0.2617777973285334,0.2584768186043011,0.03309456538907583,22.561475409836067,1.8002637177791239,0.23050014948083458,0.12599269600142485,0.12347814038208267,0.015809755834437993,-0.32703344740594076,0.23068073809842077,0.02953564196673932,0.7704918032786885,0.42400639236340215,0.054288455549813305,70.78019013792087,43.09359555152313,5.5175695195071475,1.7864400803857055,0.2295828133361297,0.029395067105774508
IPG,WS,1.4012865655155944,0.27081315030071124,0.034674070809301474,1.5430061133109052,0.37462049420666227,0.047965239237140564,28.050828505710868,27.90675359511001,3.5730936593740137,1.3206951970698362,0.31454186411315793,0.04027295888932569,1.6557377049180328,0.8368641048907791,0.10714946891805115,-0.01859407364751865,0.2178659291375983,0.0278948738104595,1.2605550956783,0.42068176154922193,0.053862780193436904,0.32786885245901637,0.47333256368751403,0.06060402462518807,9.295873824763635,6.341314075276882,0.8119220688730094,0.8828676030927537,0.2704938073109437,0.034633183129263195,7.110655737704918,0.7049299465253245,0.09025703092436574,0.16690933902142832,0.1914149837405844,0.02450817729055044,0.5197983043128928,0.32051719393713324,0.04103802147655746,0.8032786885245902,0.4008188340197077,0.05131959292622468,28.35860539793733,25.80265195269554,3.3036910500175827,1.2911034138198734,0.39646651514817144,0.05076233559744012,9.676229508196721,0.3516160971591329,0.04501982801443739,1.150305368021157,0.35293121602460537,0.04518821173071337,1.31336110187307,0.41019520639897306,0.052520114390754796,1.0,0.0,0.0,10.986179741279328,7.690126045859167,0.9846197452025063,0.9259369851418454,0.33523433559987964,0.042922358376585944,10.827868852459016,0.3551437021549554,0.04547149155173819,0.9301546694866754,0.3480144571724003,0.04455868526789459,1.0238338955636748,0.3357990491988625,0.04299466254385539,1.0,0.0,0.0,5.434209967413603,4.131622095994751,0.5290000022329799,0.643560529800514,0.26667968708573836,0.03414483507593895,15.311475409836065,2.553859716889695,0.32698822993686555,0.30816473946976636,0.1646291331722753,0.021078600557435354,0.1974775463634715,0.32730902879204216,0.041907626820399495,1.0,0.0,0.0,2.3477191701754587,1.4510235660112234,0.18578453010118157,0.30083303542715767,0.24330911987533538,0.03115254056805691,19.618852459016395,0.8147169209008647,0.10431381258068272,0.3414363761285058,0.16322734356447435,0.020899119789730164,0.07385360337150593,0.2887738068954311,0.0369736972412356,1.0,0.0,0.0,2.489217189698115,1.5832325313701192,0.20271215352489091,0.32447144094700936,0.24566023178061003,0.03145356960078136,22.520491803278688,1.5229460772129662,0.19499326403239145,0.11466157287220322,0.1373376650081116,0.017584286124907873,-0.2351664204145559,0.22398966584770422,0.028678937952351997,0.819672131147541,0.3876509048663705,0.04963361236225396,100.0397005226133,56.14488573752053,7.18861599402108,1.9367364009217471,0.23883721873812497,0.03057997229908012
